,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3
SJM,1.19,,18.56,8.53,1.61,15.28,0.09869,0.1384,0.0475,-0.010700000000000001,0.099,2.1,80.31,2.18,4.39,1.44,149.58,-0.85,32.35,11.21,0.22,4.24,69.84,1.86,16.42,151.45
STZ,2.66,,61.66,9.6,3.27,49.5,0.16659000000000002,0.2989,0.0709,-0.0338,0.064,5.77,50.22,6.42,2.54,1.14,250.95,-1.47,67.46,1.05,1.04,3.56,46.85,5.38,22.78,235.41
SYY,2.87,,49.54,76.32,3.81,38.59,0.50407,0.039700000000000006,0.0844,0.0232,0.040999999999999995,24.5,150.43,0.66,1.26,1.24,73.32,3.02,14.68,1.48,1.11,2.0,3.98,0.52,17.06,77.07
TAP,1.73,3.66,20.66,11.18,1.96,14.4,0.19313999999999998,0.1142,0.029500000000000002,0.0037,0.11800000000000001,1.13,51.6,1.91,4.04,0.87,66.14,-1.2,26.68,4.44,0.88,1.64,60.27,1.33,14.56,56.68
TGT,6.68,26.89,78.89,109.27,6.64,61.38,0.46017,0.0362,0.048,0.024900000000000002,0.006,5.29,236.87,0.72,0.76,0.88,133.74,5.86,12.0,2.86,1.01,4.34,25.14,0.56,16.0,154.09
TSN,2.23,6.62,28.06,53.62,3.54,19.67,0.27870999999999996,0.0435,0.0401,0.0281,0.001,1.01,150.21,0.52,10.24,1.66,51.77,4.18,7.96,1.55,0.78,1.92,54.55,0.37,14.86,59.31
WMT,37.23,147.57,481.75,622.02,36.56,428.46,1.43,0.0409,0.06480000000000001,0.0182,0.076,5.92,229.61,0.77,3.56,0.82,154.25,4.16,15.93,3.93,0.5,2.28,26.88,0.7,25.64,147.29
ALB,,3.08,26.05,,,24.4,,,,,,2.65,,2.97,0.54,,220.28,,6.98,,,,,2.79,10.81,236.21
APD,,3.36,74.43,,,67.17,,,,,,4.78,,5.67,1.76,,289.42,,17.71,,,,,5.13,24.04,289.64
CE,,2.38,27.72,,,13.64,,,,,,2.41,,2.78,5.26,,115.91,,13.67,,,,,1.37,11.42,109.8
CF,,5.86,16.27,,,15.84,,,,,,2.91,,1.58,,,71.41,,2.99,,,,,1.58,9.89,82.67
DD,,4.62,38.59,,,35.36,,,,,,1.32,,3.02,2.07,,71.3,,12.42,,,,,2.93,21.23,69.58
ECL,,5.43,61.37,,,52.72,,,,,,7.18,,4.23,2.47,,180.5,,23.34,,,,,3.65,37.04,161.85
EMN,,2.18,15.19,,,10.17,,,,,,1.93,,1.55,1.41,,83.46,,10.31,,,,,1.05,12.87,83.38
FCX,,9.71,65.52,,,62.71,,,,,,3.87,,2.99,,,39.29,,8.42,,,,,2.88,25.45,38.94
FMC,,2.33,15.48,,,11.76,,,,,,3.39,,2.67,2.48,,101.99,,11.83,,,,,2.05,14.71,118.06
IFF,,4.15,32.86,,,21.51,,,,,,1.21,,2.68,4.38,,80.36,,-89.06,,,,,1.76,18.45,93.46
LIN,,13.91,203.77,,,189.64,,,,,,4.75,,6.16,3.51,,371.85,,17.71,,,,,5.84,28.49,345.02
LYB,,6.6,42.89,,,31.8,,,,,,2.5,,0.9,,,91.09,,7.85,,,,,0.67,11.15,89.64
MLM,,1.43,33.03,,,28.01,,,,,,3.77,,5.11,1.85,,436.28,,17.52,,,,,4.37,27.7,373.65
MOS,,5.78,17.35,,,13.36,,,,,,1.12,,0.92,,,36.05,,3.64,,,,,0.74,8.92,44.45
NEM,,4.53,36.02,,,33.15,,,,,,1.72,,3.22,0.79,,42.57,,18.01,,,,,2.96,14.22,45.98
NUE,,12.53,44.76,,,43.46,,,,,,2.18,,1.19,,,155.94,,5.1,,,,,1.18,10.36,150.48
PPG,,6.6,40.71,,,34.28,,,,,,4.5,,2.27,1.69,,143.23,,16.32,,,,,1.93,19.72,132.95
SHW,,9.33,84.18,,,72.05,,,,,,19.84,,3.67,3.24,,254.0,,20.86,,,,,3.18,30.77,236.83
STLD,4.18,6.12,19.07,20.45,4.3,18.09,0.15758000000000003,0.18960000000000002,0.17149999999999999,0.1466,-0.182,2.08,117.79,0.93,10.91,4.2,102.65,17.27,4.33,12.42,1.53,1.7,51.83,0.91,6.7,105.97
VMC,,1.56,34.09,,,29.8,,,,,,4.27,,4.59,2.16,,213.25,,21.41,,,,,4.03,36.36,185.55
ATVI,,5.31,62.83,,,72.3,,,,,,3.48,,7.22,2.32,,84.84,,20.45,,,,,8.36,23.36,79.11
CHTR,,24.48,159.33,,,61.55,,,,,,5.88,,2.92,0.43,,359.29,,7.72,,,,,1.17,12.45,360.6
CMCSA,27.25,83.21,277.26,120.61,37.16,186.91,4.08,0.1911,0.054400000000000004,0.054000000000000006,0.017,2.22,28.33,2.3,0.91,0.76,41.53,1.34,9.54,1.73,0.99,1.16,20.36,1.61,12.63,37.84
DIS,,28.32,200.8,,,162.68,,,,,,1.66,,2.31,0.79,,89.12,,14.99,,,,,1.87,16.95,96.03
EA,,5.75,36.22,,,37.04,,,,,,5.08,,4.88,1.09,,130.74,,18.86,,,,,5.1,19.72,124.66
GOOG,,156.63,1570.0,,,1660.0,,,,,,6.23,,5.43,1.47,,123.76,,17.73,,,,,5.88,23.26,105.03
GOOGL,,156.63,1570.0,,,1660.0,,,,,,6.21,,5.43,1.47,,123.15,,17.73,,,,,5.86,23.2,104.5
IPG,,3.6,16.1,,,13.07,,,,,,3.55,,1.49,3.64,,37.83,,9.62,,,,,1.23,12.58,35.42
LYV,,4.34,21.33,,,20.05,,,,,,31.01,,1.11,2.36,,88.92,,14.0,,,,,1.05,105.26,77.0
META,,92.86,813.16,,,830.38,,,,,,6.2,,6.75,1.02,,286.09,,21.23,,,,,7.07,25.51,193.73
MTCH,,2.23,16.11,,,12.85,,,,,,10.97,,5.07,0.82,,41.98,,28.81,,,,,4.25,22.27,41.88
NFLX,,12.45,202.79,,,194.37,,,,,,8.51,,6.31,2.09,,422.71,,9.95,,,,,6.16,37.45,343.1
NWS,,5.31,13.92,,,11.38,,,,,,1.42,,1.38,14.26,,19.53,,12.05,,,,,1.16,24.39,18.42
NWSA,,5.31,13.92,,,11.38,,,,,,1.4,,1.38,14.04,,19.32,,12.05,,,,,1.14,23.98,18.22
OMC,,2.76,20.04,,,16.37,,,,,,5.19,,1.4,2.22,,91.65,,8.32,,,,,1.18,11.44,86.53
PARA,,10.31,25.74,,,10.6,,,,,,0.48,,0.86,2.26,,15.79,,39.06,,,,,0.35,30.86,18.94
T,,69.89,254.29,,,102.23,,,,,,1.0,,2.09,9.53,,15.37,,12.28,,,,,0.88,5.91,17.79
TMUS,17.13,47.56,267.52,78.58,27.87,161.48,0.55331,0.1907,0.0446,0.0782,-0.026000000000000002,2.46,64.05,3.4,0.34,0.82,136.4,3.09,11.09,5.65,0.56,,55.7,2.15,18.9,142.81
TTWO,0.0011,,28.25,5.35,1.17,25.78,0.15714,-0.0803,-0.024,-0.2102,0.555,2.85,33.46,5.28,4.82,0.65,143.42,-7.07,48.5,5.99,0.7,,53.54,4.54,48.08,120.37
VZ,,77.7,313.39,,,140.54,,,,,,1.48,,2.32,6.45,,35.16,,6.31,,,,,1.04,7.1,37.67
WBD,,13.43,77.69,,,31.35,,,,,,0.67,,1.88,1.39,,12.55,,4.33,,,,,0.75,,12.86
AAP,0.39830000000000004,4.96,8.33,11.2,0.93131,4.38,0.05878,0.0572,0.033100000000000004,0.0361,0.013000000000000001,1.66,187.04,0.74,0.68,1.24,74.88,6.73,9.42,3.84,1.1,1.0,44.64,0.4,9.51,126.61
AMCR,1.27,2.82,21.64,14.93,1.96,14.73,1.46,0.09570000000000001,0.0507,0.0654,-0.011000000000000001,3.47,10.11,1.45,,1.27,10.0,0.65,10.52,0.39,0.85,0.49,2.89,1.0,14.66,11.06
AMZN,54.33,225.15,1430.0,524.9,57.19,1350.0,8.99,0.025400000000000002,0.0191,0.008199999999999999,0.094,8.74,51.42,2.72,5.14,0.92,127.09,0.42,28.55,6.28,1.26,,15.06,2.57,82.64,105.63
APTV,1.46,2.65,35.5,18.13,2.24,29.62,0.26882,0.0804,0.0433,0.0368,0.153,3.3,66.91,1.96,1.17,1.71,101.98,2.24,16.7,4.07,2.03,,33.18,1.64,25.19,102.97
AVY,0.7581,2.4,18.29,8.5,1.2,14.96,0.07991,0.10980000000000001,0.0713,0.0666,-0.109,7.42,104.92,2.15,3.42,1.09,171.77,6.93,15.98,3.13,0.96,3.24,24.99,1.78,22.17,177.45
AZO,3.1,8.47,55.26,17.11,3.84,45.05,0.0181,0.196,0.1392,0.1445,0.057999999999999996,,910.02,3.23,1.25,0.79,2459.71,126.81,16.44,17.49,0.67,,-236.03,2.82,17.21,2482.52
BALL,0.8300000000000001,2.58,27.8,15.12,1.96,18.27,0.31207,0.0862,0.039700000000000006,0.0298,-0.061,5.02,48.04,1.84,1.45,0.76,55.86,1.44,17.75,1.82,0.8,0.8,11.57,1.22,19.8,54.45
BBWI,1.12,3.25,13.33,7.51,1.51,8.4,0.19451,0.17010000000000003,0.1561,0.09670000000000001,-0.037000000000000005,,32.74,1.78,1.09,1.63,37.64,3.11,8.64,4.57,1.7,0.8,-9.48,1.12,13.35,38.52
BBY,2.88,9.91,20.95,45.12,2.71,18.06,0.19466999999999998,0.0395,0.07440000000000001,0.029300000000000003,-0.111,6.47,202.48,0.46,1.78,0.98,78.97,5.91,7.97,5.64,1.55,3.68,12.78,0.41,13.5,78.01
BKNG,7.75,14.62,105.8,18.17,5.6,107.64,0.03683,0.2831,0.1351,0.2214,0.402,100.22,465.41,5.82,1.1,1.59,2731.98,100.07,17.04,392.57,1.35,,28.86,6.31,21.41,2409.48
BWA,1.5,3.1,14.38,16.87,2.38,10.89,0.23348,0.09820000000000001,0.061900000000000004,0.0563,0.20199999999999999,1.46,72.32,0.89,1.8,1.62,43.07,4.08,6.78,3.61,1.41,0.44,32.12,0.68,10.73,39.98
CCL,1.06,3.81,54.11,17.49,1.28,23.5,1.01,-0.0596,-0.0124,-0.19829999999999998,1.045,4.01,14.09,3.09,,0.52,15.84,-2.7,64.95,3.99,2.39,,4.64,1.28,18.25,11.24
CMG,1.79,3.37,56.47,9.28,1.77,53.93,0.02739,0.1582,0.1302,0.12,0.136,19.49,335.52,6.08,1.85,1.59,2061.09,37.03,31.91,49.15,1.31,,100.26,5.86,45.87,1729.11
CZR,1.83,5.42,24.44,11.42,3.72,12.44,0.20533,0.21920000000000003,0.0446,0.060300000000000006,0.021,3.46,53.23,2.15,,0.78,50.1,-0.91,7.34,5.21,2.91,,21.14,1.09,66.23,47.66
DHI,3.39,10.07,46.05,34.6,6.47,43.27,0.30077,0.1844,0.1303,0.14070000000000002,0.107,2.0,100.77,1.33,0.77,5.55,118.98,14.05,7.31,9.24,1.54,1.0,64.03,1.28,10.29,99.21
DPZ,0.5641900000000001,1.16,19.18,4.51,0.85384,14.03,0.03488,0.1779,0.307,0.10490000000000001,-0.038,,127.42,4.25,2.69,1.46,340.43,13.24,22.02,2.19,0.86,4.84,-118.85,3.16,29.67,338.51
DRI,1.55,,24.57,10.49,1.56,20.14,0.12053,0.11359999999999999,0.0731,0.0936,0.064,9.15,86.04,2.34,1.9,0.51,165.25,7.99,15.38,3.04,1.23,5.24,18.18,1.95,18.76,151.14
EBAY,2.86,7.12,24.29,9.94,2.75,23.18,0.53032,0.2348,0.0737,0.1349,0.049,4.4,18.39,2.44,1.8,2.45,45.25,2.37,10.09,13.4,1.35,1.0,9.88,2.38,10.37,44.4
ETSY,0.6902200000000001,1.82,13.51,2.67,0.43207,12.16,0.12239,0.1409,0.0762,-0.2684,0.075,,21.34,5.14,1.98,2.81,90.51,-5.55,-24.18,8.72,,,-3.76,4.73,28.9,109.08
EXPE,3.61,10.01,18.48,12.08,1.38,17.88,0.14176,0.09820000000000001,0.029900000000000003,0.027200000000000002,0.185,9.76,77.6,1.53,0.81,0.83,110.13,1.96,10.69,40.15,1.62,,12.24,1.61,12.84,101.33
F,12.82,17.21,155.74,169.82,13.85,53.71,3.92,0.0431,0.0179,0.0244,0.11900000000000001,1.23,42.4,0.92,0.8,1.21,13.78,0.73,7.58,7.43,1.61,0.6,10.91,0.32,7.72,12.89
GM,21.49,21.15,137.86,169.73,17.06,52.45,1.37,0.0664,0.026600000000000002,0.0605,0.251,0.73,120.29,0.81,1.8,1.15,37.17,6.47,5.57,19.94,1.38,0.36,51.18,0.32,5.38,36.87
GPC,1.13,7.74,25.75,22.88,2.06,22.02,0.13971,0.0748,0.0645,0.053,0.055999999999999994,5.41,162.33,1.13,1.68,1.15,160.24,8.55,12.66,3.78,0.91,3.8,28.98,0.97,17.04,168.6
HAS,0.327,2.92,12.54,5.69,0.9739,8.95,0.13053,0.1311,0.0506,0.0211,-0.139,3.28,41.11,2.2,1.12,1.34,62.46,0.86,11.37,2.69,0.73,2.8,19.7,1.57,14.43,59.47
HD,16.44,52.78,382.02,155.75,26.7,333.86,1.0,0.1519,0.19340000000000002,0.1075,-0.042,922.25,153.15,2.45,2.18,1.27,307.7,16.43,14.26,1.25,0.95,8.36,0.36,2.17,22.17,304.87
HLT,1.95,2.74,49.19,4.19,2.47,40.42,0.25724,0.5526,0.0943,0.3084,0.192,,15.6,5.04,1.27,0.75,145.09,4.76,20.45,3.08,1.24,0.6,-5.45,4.27,25.58,140.35
IP,2.07,6.02,17.81,20.24,2.57,12.44,0.34426999999999996,0.07769999999999999,0.0402,0.0514,-0.131,1.48,57.55,0.88,2.4,1.59,31.88,4.53,7.16,2.16,1.05,1.85,24.29,0.63,17.45,34.69
KMX,0.5670900000000001,2.8,32.29,29.56,0.90204,13.3,0.15746000000000002,0.0222,0.0154,0.015600000000000001,-0.163,2.28,186.76,1.15,1.31,2.54,80.23,2.96,23.2,1.67,1.44,,36.81,0.48,30.49,69.91
LEN,4.85,7.2,36.81,33.64,5.89,36.11,0.25760000000000005,0.1723,0.1018,0.1266,-0.038,1.46,117.39,1.09,3.6,11.3,120.61,14.63,6.18,14.01,1.46,1.5,87.03,1.08,10.41,102.63
LKQ,1.22,5.22,18.26,12.9,1.72,14.84,0.26587,0.113,0.0693,0.078,0.032,2.49,47.94,1.42,7.39,2.03,55.71,4.18,10.32,7.12,1.35,1.1,22.24,1.16,13.97,55.42
LOW,7.72,32.26,173.73,95.75,14.15,136.15,0.58517,0.1275,0.1595,0.0665,-0.055,,156.19,1.81,1.49,1.25,220.08,10.44,14.31,5.76,1.08,4.4,-24.85,1.49,17.64,206.91
LVS,1.13,2.58,54.43,6.78,1.67,45.28,0.40903,0.0874,0.0167,0.0075,1.433,10.46,8.88,8.02,,2.77,57.92,0.07,27.91,7.55,1.18,0.2,5.67,6.68,29.76,53.68
MAR,2.85,4.28,73.24,5.97,4.32,62.11,0.23776,0.6770999999999999,0.1017,0.46659999999999996,0.141,443.63,19.04,3.3,1.31,0.46,183.12,8.52,17.47,1.89,1.59,2.08,-0.75,2.96,25.13,168.67
MCD,,13.21,258.72,24.19,13.01,212.51,0.72838,0.45890000000000003,,0.3306,0.136,,33.07,10.69,2.9,,291.36,9.31,22.25,5.08,0.64,6.08,-7.91,8.86,26.81,277.9
MGM,2.1,6.47,45.72,14.78,1.97,18.2,0.28620999999999996,-0.0852,-0.0172,0.025400000000000002,0.21100000000000002,3.76,39.1,3.23,,2.04,44.47,4.79,8.24,10.95,,0.01,12.52,1.4,46.73,40.88
MHK,0.98736,3.01,9.77,11.32,1.38,6.87,0.05308,0.0652,0.0316,-0.0282,-0.064,0.84,178.11,0.86,,1.78,103.09,-2.18,21.1,8.97,1.32,,128.87,0.61,12.33,102.73
NCLH,1.86,0.57667,20.66,7.16,0.66071,8.23,0.42212,-0.0256,-0.0061,-0.11880000000000002,0.858,,16.96,3.36,,0.32,19.15,-3.46,8.36,2.12,2.59,,0.04,1.33,26.67,15.89
NKE,5.84,,168.85,51.22,6.77,167.38,1.21,0.1155,0.095,0.099,0.048,11.95,33.01,3.3,2.0,2.72,108.55,3.23,24.93,6.98,1.12,1.36,9.14,3.35,29.15,113.99
NVR,,2.82,18.94,10.12,2.06,20.62,0.0032300000000000002,0.2021,0.2213,0.15960000000000002,-0.10800000000000001,4.96,3120.06,1.89,,7.2,6065.0,485.35,9.26,821.55,1.03,,1273.8,2.18,15.08,5292.73
ORLY,3.41,7.38,63.21,15.22,3.45,56.14,0.059750000000000004,0.2013,0.15109999999999998,0.1484,0.10800000000000001,,245.03,4.15,1.56,0.69,932.63,34.59,18.29,0.96,0.86,,-26.94,3.83,24.88,864.58
PHM,2.02,4.84,19.19,16.96,3.7,18.57,0.21783000000000002,0.2134,0.1565,0.1629,0.08,1.91,74.96,1.13,0.51,6.13,75.73,12.02,5.18,7.9,1.38,0.64,44.13,1.13,8.09,58.08
PKG,,2.1,16.09,8.03,1.74,13.77,0.08746,0.1575,,0.1079,-0.127,3.66,88.88,2.0,,,134.2,9.47,13.34,5.2,0.92,5.0,42.18,1.73,18.73,133.23
RCL,3.23,2.38,47.82,12.01,2.79,27.52,0.22835,0.1143,0.0257,-0.0047,0.613,8.18,47.01,3.98,,0.2,96.08,-4.0,16.59,2.84,2.48,,13.13,2.3,23.2,70.64
RL,0.41100000000000003,4.18,9.92,6.44,0.9669,8.6,0.03968,0.1158,0.0643,0.08109999999999999,0.012,3.54,95.18,1.54,1.35,2.23,121.56,7.58,10.41,23.94,1.41,3.0,37.05,1.41,14.12,113.78
ROL,0.4993,1.39,20.49,2.87,0.62688,20.02,0.25708,0.1855,0.1396,0.1365,0.149,14.92,5.83,7.14,3.49,0.81,41.98,0.8,32.14,0.32,0.66,0.52,2.72,6.97,46.08,39.14
ROST,2.52,5.68,40.15,18.86,2.38,38.83,0.33373,0.10490000000000001,0.09210000000000002,0.0819,0.037000000000000005,9.01,55.27,2.13,2.02,1.86,108.23,4.5,16.01,12.97,0.99,1.34,12.64,2.07,25.19,107.91
SBUX,5.16,8.39,137.14,35.02,6.5,116.08,1.12,0.1448,0.11140000000000001,0.1081,0.125,,30.51,4.03,1.4,0.78,99.95,3.08,20.74,3.16,0.93,2.12,-7.29,3.43,24.88,101.29
SEE,0.6168,1.77,11.09,5.57,1.06,6.48,0.14318,0.156,0.08070000000000001,0.0725,-0.049,18.69,38.43,1.99,2.32,1.19,41.59,2.77,11.08,2.1,1.26,0.8,2.4,1.18,12.71,46.77
TJX,5.46,13.79,107.07,50.31,5.83,99.26,1.15,0.0981,0.1094,0.0756,0.033,15.46,43.37,2.13,2.07,1.2,82.19,3.24,17.92,4.37,0.92,1.33,5.58,2.01,24.81,78.59
TPR,0.8116,4.65,12.57,6.67,1.34,9.93,0.23094,0.17379999999999998,0.1011,0.1351,0.05,4.39,27.68,1.89,0.96,1.94,42.59,3.68,9.56,2.81,1.48,1.2,9.76,1.58,10.16,40.31
TSCO,1.51,4.97,28.79,14.76,1.85,24.56,0.1091,0.09960000000000001,0.10869999999999999,0.0751,0.07200000000000001,11.77,133.98,1.95,2.2,1.6,217.51,9.7,15.55,5.67,0.81,4.12,19.07,1.68,21.32,223.55
TSLA,13.96,20.85,811.37,94.03,16.8,828.63,2.71,0.13460000000000003,0.0994,0.1297,0.47200000000000003,16.21,29.75,8.63,2.91,1.59,249.87,3.08,45.99,7.27,2.07,,16.11,9.65,75.76,195.27
ULTA,1.36,,23.29,10.5,1.88,22.02,0.0497,0.1565,0.1977,0.1198,0.12300000000000001,10.91,206.31,2.22,1.81,1.64,452.87,24.13,12.39,12.78,1.33,,40.42,2.16,17.54,480.0
VFC,-0.13390000000000002,,14.87,11.44,1.22,7.54,0.38515,0.0843,0.0442,0.0102,-0.077,2.59,29.48,1.28,0.53,1.37,19.0,0.31,30.99,2.08,1.49,1.2,7.0,0.65,9.36,24.54
WHR,1.2,3.07,14.85,19.15,1.42,7.85,0.0543,0.052000000000000005,0.0352,-0.0812,-0.06,3.89,349.42,0.78,1.22,0.87,144.61,-27.07,-33.37,23.88,1.53,7.0,36.69,0.41,9.76,141.57
WRK,1.93,4.02,17.54,21.12,3.15,8.39,0.25256,0.0779,0.0358,-0.058600000000000006,-0.019,0.87,82.8,0.83,11.91,1.53,29.49,-4.9,21.11,1.42,1.21,1.1,37.65,0.4,10.95,32.13
WYNN,0.21559999999999999,1.89,22.45,4.23,0.71186,12.42,0.09591,0.0116,0.0024,-0.054000000000000006,0.493,12.01,37.39,5.31,0.53,3.1,104.84,-2.16,24.44,34.03,2.03,1.0,-6.35,2.92,32.79,97.5
YUM,1.58,3.31,49.59,6.99,2.4,38.19,0.27955,0.32310000000000005,0.2426,0.2031,0.031000000000000003,,24.75,7.15,1.98,1.02,134.91,4.26,21.45,1.56,1.01,2.42,-30.13,5.65,26.18,130.12
ACGL,4.48,2.85,31.83,11.79,2.58,28.75,0.35978,0.2108,0.031200000000000002,0.192,0.428,2.08,32.14,2.72,,1.71,74.35,5.2,,7.05,0.72,,37.25,2.48,12.95,66.84
AFL,,8.08,47.18,18.99,5.03,43.57,0.59072,0.26239999999999997,0.0234,0.2413,-0.042,2.2,30.86,2.46,,18.06,69.14,6.93,,7.92,0.94,1.68,34.29,2.36,12.79,68.27
AIG,4.69,24.97,67.82,50.98,12.03,43.7,0.7099099999999999,0.1431,0.0085,0.09,-0.1,1.01,68.62,1.29,,0.87,57.27,8.0,,18.59,,1.44,58.49,0.88,9.64,57.36
AIZ,,0.7144,7.78,10.57,0.8082,7.18,0.05318,0.0591,0.0121,0.0327,0.08800000000000001,1.63,197.35,0.75,,0.28,127.6,4.52,,,0.55,2.8,83.47,0.71,12.45,126.82
AJG,,3.64,53.76,8.84,2.52,47.25,0.213,0.2154,0.0252,0.1259,0.17300000000000001,4.54,41.6,5.84,,1.03,212.26,5.38,22.52,4.42,0.7,2.2,48.24,5.16,25.06,198.09
ALL,4.79,6.44,39.47,54.62,-2.3,29.71,0.25997000000000003,-0.055999999999999994,-0.0194,-0.0481,0.14400000000000002,1.91,206.28,0.75,,0.39,109.84,-8.68,,22.31,0.57,3.56,51.59,0.57,36.63,121.59
AMP,,7.84,34.42,15.06,,35.88,0.1024,0.29550000000000004,0.0169,0.1517,0.141,8.79,138.97,2.39,1.37,10.09,328.1,19.19,,71.43,1.47,5.4,39.69,2.72,11.52,318.62
AON,3.22,5.82,68.33,12.87,3.94,64.81,0.19603,0.2862,0.0651,0.2078,0.065,997.14,62.12,5.31,2.08,1.04,327.59,12.59,17.37,5.11,0.9,2.46,0.32,5.18,22.27,312.96
AXP,16.49,28.78,,53.01,,124.94,0.58352,0.18350000000000002,0.033100000000000004,0.1404,0.067,4.68,71.25,,1.18,1.61,168.74,9.85,,56.78,1.18,2.4,36.28,2.23,15.29,160.67
BAC,44.64,92.41,,96.44,,251.26,7.92,0.3455,0.0095,0.3088,0.086,0.99,11.94,,8.45,,29.46,3.48,,107.77,1.37,0.96,32.05,2.57,9.3,31.89
BEN,1.23,3.52,21.82,7.8,2.03,14.37,0.28472000000000003,0.20420000000000002,0.0344,0.1051,-0.031000000000000003,1.2,15.94,2.8,,4.78,26.93,1.66,12.03,7.47,1.3,1.2,23.94,1.81,11.26,27.02
BK,,16.34,,16.99,,35.17,0.77718,0.2725,0.0067,0.17500000000000002,0.057999999999999996,0.97,21.14,,0.56,,43.77,3.44,,234.83,1.08,1.68,46.35,2.19,9.22,44.99
BLK,,8.79,112.25,17.35,6.53,109.4,0.14012,0.3515,,0.299,-0.013999999999999999,2.9,115.64,6.47,2.93,,700.47,34.32,15.71,36.48,1.29,20.0,251.57,6.38,21.01,690.98
BRK-B,39.09,-28.09,866.42,316.64,20.79,769.54,0.00122,0.0301,0.0061,0.022400000000000003,0.20500000000000002,1.52,216237.69,3.03,,1.47,337.96,3.4,,90090.38,0.87,,347828.19,2.71,22.42,316.03
BRO,0.9237000000000001,1.75,23.22,3.97,1.28,19.85,0.21762,0.27140000000000003,0.051100000000000007,0.1845,0.23600000000000002,3.91,14.25,5.83,,1.18,66.97,2.58,17.11,2.25,0.76,0.46,17.89,4.91,27.7,60.82
C,,70.56,,70.8,,90.64,1.87,0.25129999999999997,0.005699999999999999,0.1908,-0.011000000000000001,0.48,36.5,,,,46.71,6.31,,548.99,1.55,2.06,97.87,1.19,7.89,47.29
CB,10.84,10.63,98.71,46.5,8.06,83.47,0.40832999999999997,0.1672,0.0242,0.1259,0.249,1.58,112.15,2.12,0.77,0.41,193.78,13.92,,15.54,0.65,3.44,128.75,1.83,11.2,204.58
CBOE,0.42210000000000003,1.74,16.14,3.97,1.14,14.76,0.10502,0.2462,0.0759,0.0752,0.013999999999999999,4.17,37.43,4.06,,1.07,137.42,2.8,23.42,4.89,0.52,2.0,33.52,3.75,19.49,130.11
CFG,,7.55,,8.0,,14.76,0.47135000000000005,0.36460000000000004,0.0101,0.2848,0.057,0.68,16.37,,1.67,,28.14,4.44,,26.48,1.31,1.68,45.44,1.77,7.7,34.64
CINF,2.12,-0.533,17.12,9.37,1.82,17.0,0.14526,0.1814,0.0351,0.1449,2.177,1.54,59.52,1.83,,1.08,100.41,0.02,,4.77,0.61,3.0,70.34,1.83,24.51,106.58
CMA,1.3,3.47,,3.8,,6.93,0.13103,0.4551,0.0146,0.342,0.08800000000000001,1.33,28.86,,,,44.69,9.58,,81.2,1.24,2.84,39.49,1.78,7.02,56.35
CME,3.19,5.01,73.32,5.23,3.5,71.88,0.35832,0.6019,0.012,0.5699000000000001,0.1,2.58,14.57,14.0,4.62,1.02,184.91,7.87,16.66,5.52,0.44,4.4,77.49,13.71,22.88,181.04
COF,17.28,28.4,,26.39,,44.43,0.36657,0.2539,0.0117,0.20149999999999998,-0.087,0.81,68.95,,9.04,,110.31,13.13,,112.97,1.46,2.4,130.33,1.25,9.03,102.62
DFS,7.09,10.46,,10.79,,26.2,0.24863,0.4883,0.0311,0.3638,-0.034,2.05,40.79,,,1.13,111.93,14.41,,34.44,1.43,2.6,51.21,1.87,7.79,105.54
FDS,0.64126,0.9727899999999999,17.93,2.05,0.7529600000000001,16.54,0.038090000000000006,0.3161,0.10039999999999999,0.2477,0.084,9.91,53.57,8.75,2.62,2.11,408.11,13.04,22.5,13.76,0.83,3.92,43.68,8.25,26.25,415.73
FITB,,7.82,,8.21,,19.62,0.67753,0.3976,0.0123,0.3105,0.092,1.25,11.96,,6.42,,26.78,3.5,,5.48,1.21,1.32,23.05,2.28,8.99,30.6
GL,,1.35,12.73,5.27,0.99773,10.76,0.08704,0.18530000000000002,,0.1361,0.026000000000000002,2.8,54.63,2.42,,,109.28,7.38,,2.58,0.78,0.9,40.18,2.09,10.87,113.27
GS,,37.53,,43.76,,118.92,0.33982,0.26489999999999997,0.005600000000000001,0.2021,-0.08199999999999999,1.03,125.83,,2.72,2.67,331.87,23.51,,1960.27,1.38,11.0,307.62,2.77,13.32,343.09
